DaySum,MonthSum,QuantitySum,TotalPriceSum,CustomerCount,DayAvg,MonthAvg,QuantityAvg
1059,361,1037,759.8900000000002,73,14.506849315068493,4.945205479452055,14.205479452054794
402,175,495,119.09,24,16.75,7.291666666666667,20.625
462,176,193,40.530000000000015,30,15.4,5.866666666666666,6.433333333333334
61,17,-13,3.25,4,15.25,4.25,-3.25
4,8,-38,0.0,1,4.0,8.0,-38.0
69,26,16,6.72,5,13.8,5.2,3.2
69,20,17,7.14,4,17.25,5.0,4.25
1227,566,1296,994.8400000000004,94,13.053191489361701,6.0212765957446805,13.787234042553191
2921,1257,2775,1540.0200000000007,200,14.605,6.285,13.875
4,5,-19,0.0,1,4.0,5.0,-19.0
2581,1205,2230,2206.140000000001,180,14.338888888888889,6.694444444444445,12.38888888888889
1763,885,1430,2152.389999999999,120,14.691666666666666,7.375,11.916666666666666
249,86,293,41.46999999999999,14,17.785714285714285,6.142857142857143,20.928571428571427
2210,973,5206,731.7300000000006,142,15.56338028169014,6.852112676056338,36.66197183098591
7980,3366,22552,18064.159999999876,524,15.229007633587786,6.423664122137405,43.038167938931295
2351,1051,2065,1957.390000000001,149,15.778523489932885,7.053691275167785,13.859060402684564
1653,639,463,1453.770000000001,104,15.89423076923077,6.144230769230769,4.451923076923077
850,346,293,943.8800000000003,62,13.709677419354838,5.580645161290323,4.725806451612903
1408,582,311,1017.8900000000011,91,15.472527472527473,6.395604395604396,3.4175824175824174
1251,538,643,1817.2100000000014,87,14.379310344827585,6.183908045977011,7.390804597701149
4979,2237,2714,15176.340000000017,326,15.273006134969325,6.861963190184049,8.325153374233128
6922,2929,3897,21839.040000000008,467,14.822269807280515,6.271948608137045,8.34475374732334
2409,1048,768,4308.619999999994,150,16.06,6.986666666666666,5.12
1020,416,87,1086.8799999999999,62,16.451612903225808,6.709677419354839,1.403225806451613
1283,583,127,1585.2800000000013,84,15.273809523809524,6.940476190476191,1.5119047619047619
383,167,33,412.47999999999996,26,14.73076923076923,6.423076923076923,1.2692307692307692
1399,569,185,1631.1400000000003,95,14.726315789473684,5.989473684210527,1.9473684210526316
1487,597,162,1847.9199999999994,100,14.87,5.97,1.62
998,462,210,1429.8199999999995,73,13.67123287671233,6.328767123287672,2.8767123287671232
