country,customer_id,invoice,price,stream_id,times_viewed,year,month,day
United Kingdom,13085.0,489434,6.95,85048,12,2017,11,28
United Kingdom,,489597,8.65,22130,1,2017,11,28
United Kingdom,,489597,1.7000000000000002,22132,6,2017,11,28
United Kingdom,,489597,1.7000000000000002,22133,4,2017,11,28
United Kingdom,,489597,0.87,22134,1,2017,11,28
United Kingdom,,489597,0.87,22135,1,2017,11,28
United Kingdom,,489597,11.26,22138,3,2017,11,28
United Kingdom,,489597,11.26,22139,2,2017,11,28
United Kingdom,,489597,4.3,22141,6,2017,11,28
United Kingdom,,489597,3.43,22142,2,2017,11,28
United Kingdom,,489597,4.3,22143,2,2017,11,28
United Kingdom,,489597,4.3,22144,3,2017,11,28
United Kingdom,,489597,3.43,22147,1,2017,11,28
United Kingdom,,489597,4.3,22149,2,2017,11,28
United Kingdom,,489597,4.3,22150,2,2017,11,28
United Kingdom,,489597,0.87,22153,5,2017,11,28
United Kingdom,,489597,0.87,22155,5,2017,11,28
United Kingdom,,489597,1.7000000000000002,22156,2,2017,11,28
United Kingdom,,489597,6.04,22163,2,2017,11,28
United Kingdom,,489597,6.04,22173,1,2017,11,28
United Kingdom,,489597,3.43,22174,5,2017,11,28
United Kingdom,,489597,21.7,22177,1,2017,11,28
United Kingdom,,489597,6.04,22122,1,2017,11,28
United Kingdom,,489597,8.65,22187,2,2017,11,28
United Kingdom,,489597,12.13,22121,1,2017,11,28
United Kingdom,,489597,6.04,22117,1,2017,11,28
United Kingdom,,489597,6.04,21993,1,2017,11,28
United Kingdom,,489597,3.43,22054,1,2017,11,28
United Kingdom,,489597,3.43,22055,2,2017,11,28
United Kingdom,,489597,3.43,22064,3,2017,11,28
United Kingdom,,489597,3.43,22068,1,2017,11,28
United Kingdom,,489597,3.43,22069,1,2017,11,28
United Kingdom,,489597,7.78,22072,10,2017,11,28
United Kingdom,,489597,3.43,22079,2,2017,11,28
United Kingdom,,489597,3.43,22081,1,2017,11,28
United Kingdom,,489597,6.04,22083,1,2017,11,28
United Kingdom,,489597,6.04,22086,12,2017,11,28
United Kingdom,,489597,7.78,22107,3,2017,11,28
United Kingdom,,489597,7.78,22108,1,2017,11,28
United Kingdom,,489597,7.78,22109,2,2017,11,28
United Kingdom,,489597,8.65,22111,1,2017,11,28
United Kingdom,,489597,2.5700000000000003,84380,3,2017,11,28
United Kingdom,,489597,11.26,22111,4,2017,11,28
United Kingdom,,489597,11.26,22112,1,2017,11,28
United Kingdom,,489597,7.78,22113,1,2017,11,28
United Kingdom,,489597,8.65,22114,9,2017,11,28
United Kingdom,,489597,6.04,22115,1,2017,11,28
United Kingdom,,489597,12.13,22118,1,2017,11,28
United Kingdom,,489597,6.04,21990,1,2017,11,28
United Kingdom,,489597,8.65,22189,1,2017,11,28
United Kingdom,,489597,3.43,22195,2,2017,11,28
United Kingdom,,489597,2.5700000000000003,22315,1,2017,11,28
United Kingdom,,489597,10.39,22324,1,2017,11,28
United Kingdom,,489597,1.3,22336,3,2017,11,28
United Kingdom,,489597,2.5700000000000003,22347,1,2017,11,28
United Kingdom,,489597,1.7000000000000002,22348,1,2017,11,28
United Kingdom,,489597,5.17,22353,1,2017,11,28
United Kingdom,,489597,1.7000000000000002,22355,14,2017,11,28
United Kingdom,,489597,1.7000000000000002,22356,2,2017,11,28
United Kingdom,,489597,1.7000000000000002,30086C,1,2017,11,28
United Kingdom,,489597,8.65,35001W,2,2017,11,28
United Kingdom,,489597,13.0,35004B,3,2017,11,28
United Kingdom,,489597,13.0,35004S,2,2017,11,28
United Kingdom,,489597,17.35,35400,1,2017,11,28
United Kingdom,,489597,2.5700000000000003,35471A,2,2017,11,28
United Kingdom,,489597,2.5700000000000003,35471D,5,2017,11,28
United Kingdom,,489597,1.7000000000000002,35594,1,2017,11,28
United Kingdom,,489597,6.91,35598B,1,2017,11,28
United Kingdom,,489597,6.04,35599D,2,2017,11,28
United Kingdom,,489597,21.7,35600D,1,2017,11,28
United Kingdom,,489597,8.65,35951,1,2017,11,28
United Kingdom,,489597,1.7000000000000002,35961,1,2017,11,28
United Kingdom,,489597,8.65,22312,1,2017,11,28
United Kingdom,,489597,4.3,22190,2,2017,11,28
United Kingdom,,489597,8.65,22311,2,2017,11,28
United Kingdom,,489597,5.17,22302,1,2017,11,28
United Kingdom,,489597,1.7000000000000002,22196,4,2017,11,28
United Kingdom,,489597,1.7000000000000002,22197,6,2017,11,28
United Kingdom,,489597,3.43,22198,6,2017,11,28
United Kingdom,,489597,8.65,22199,1,2017,11,28
United Kingdom,,489597,7.78,22203,1,2017,11,28
United Kingdom,,489597,8.65,22207,1,2017,11,28
United Kingdom,,489597,3.43,22208,1,2017,11,28
United Kingdom,,489597,4.3,22212,1,2017,11,28
United Kingdom,,489597,6.04,22224,3,2017,11,28
United Kingdom,,489597,1.7000000000000002,22261,1,2017,11,28
United Kingdom,,489597,1.7000000000000002,22262,4,2017,11,28
United Kingdom,,489597,6.04,22273,2,2017,11,28
United Kingdom,,489597,6.04,22274,2,2017,11,28
United Kingdom,,489597,3.43,22286,1,2017,11,28
United Kingdom,,489597,2.5700000000000003,22288,1,2017,11,28
